"attr1_s","attr7_2","attr7_3","attr1_1","attr1_2","attr1_3","gender"
,,,0.15,0.18050000000000002,0.1875,0.0
,,,0.15,0.18050000000000002,0.1875,0.0
,,,0.15,0.18050000000000002,0.1875,0.0
,,,0.15,0.18050000000000002,0.1875,0.0
,,,0.15,0.18050000000000002,0.1875,0.0
,,,0.15,0.18050000000000002,0.1875,0.0
,,,0.15,0.18050000000000002,0.1875,0.0
,,,0.15,0.18050000000000002,0.1875,0.0
,,,0.15,0.18050000000000002,0.1875,0.0
,,,0.15,0.18050000000000002,0.1875,0.0
,,,0.45,0.17400000000000002,0.375,0.0
,,,0.45,0.17400000000000002,0.375,0.0
,,,0.45,0.17400000000000002,0.375,0.0
,,,0.45,0.17400000000000002,0.375,0.0
,,,0.45,0.17400000000000002,0.375,0.0
,,,0.45,0.17400000000000002,0.375,0.0
,,,0.45,0.17400000000000002,0.375,0.0
,,,0.45,0.17400000000000002,0.375,0.0
,,,0.45,0.17400000000000002,0.375,0.0
,,,0.45,0.17400000000000002,0.375,0.0
,,,0.35,,,0.0
,,,0.35,,,0.0
,,,0.35,,,0.0
,,,0.35,,,0.0
,,,0.35,,,0.0
,,,0.35,,,0.0
,,,0.35,,,0.0
,,,0.35,,,0.0
,,,0.35,,,0.0
,,,0.35,,,0.0
,,,0.2,0.23925000000000002,0.25,0.0
,,,0.2,0.23925000000000002,0.25,0.0
,,,0.2,0.23925000000000002,0.25,0.0
,,,0.2,0.23925000000000002,0.25,0.0
,,,0.2,0.23925000000000002,0.25,0.0
,,,0.2,0.23925000000000002,0.25,0.0
,,,0.2,0.23925000000000002,0.25,0.0
,,,0.2,0.23925000000000002,0.25,0.0
,,,0.2,0.23925000000000002,0.25,0.0
,,,0.2,0.23925000000000002,0.25,0.0
,,,0.2,0.134875,0.375,0.0
,,,0.2,0.134875,0.375,0.0
,,,0.2,0.134875,0.375,0.0
,,,0.2,0.134875,0.375,0.0
,,,0.2,0.134875,0.375,0.0
,,,0.2,0.134875,0.375,0.0
,,,0.2,0.134875,0.375,0.0
,,,0.2,0.134875,0.375,0.0
,,,0.2,0.134875,0.375,0.0
,,,0.2,0.134875,0.375,0.0
,,,0.1,0.06575,,0.0
,,,0.1,0.06575,,0.0
,,,0.1,0.06575,,0.0
,,,0.1,0.06575,,0.0
,,,0.1,0.06575,,0.0
,,,0.1,0.06575,,0.0
,,,0.1,0.06575,,0.0
,,,0.1,0.06575,,0.0
,,,0.1,0.06575,,0.0
,,,0.1,0.06575,,0.0
,,,0.15,,,0.0
,,,0.15,,,0.0
,,,0.15,,,0.0
,,,0.15,,,0.0
,,,0.15,,,0.0
,,,0.15,,,0.0
,,,0.15,,,0.0
,,,0.15,,,0.0
,,,0.15,,,0.0
,,,0.15,,,0.0
,,,0.0909,,,0.0
,,,0.0909,,,0.0
,,,0.0909,,,0.0
,,,0.0909,,,0.0
,,,0.0909,,,0.0
,,,0.0909,,,0.0
,,,0.0909,,,0.0
,,,0.0909,,,0.0
,,,0.0909,,,0.0
,,,0.0909,,,0.0
,,,0.2,0.104125,,0.0
,,,0.2,0.104125,,0.0
,,,0.2,0.104125,,0.0
,,,0.2,0.104125,,0.0
,,,0.2,0.104125,,0.0
,,,0.2,0.104125,,0.0
,,,0.2,0.104125,,0.0
,,,0.2,0.104125,,0.0
,,,0.2,0.104125,,0.0
,,,0.2,0.104125,,0.0
,,,0.15,0.383875,,0.0
,,,0.15,0.383875,,0.0
,,,0.15,0.383875,,0.0
,,,0.15,0.383875,,0.0
,,,0.15,0.383875,,0.0
,,,0.15,0.383875,,0.0
,,,0.15,0.383875,,0.0
,,,0.15,0.383875,,0.0
,,,0.15,0.383875,,0.0
,,,0.15,0.383875,,0.0
,,,0.35,0.181375,0.4375,1.0
,,,0.35,0.181375,0.4375,1.0
,,,0.35,0.181375,0.4375,1.0
,,,0.35,0.181375,0.4375,1.0
,,,0.35,0.181375,0.4375,1.0
,,,0.35,0.181375,0.4375,1.0
,,,0.35,0.181375,0.4375,1.0
,,,0.35,0.181375,0.4375,1.0
,,,0.35,0.181375,0.4375,1.0
,,,0.35,0.181375,0.4375,1.0
,,,0.6,,,1.0
,,,0.6,,,1.0
,,,0.6,,,1.0
,,,0.6,,,1.0
,,,0.6,,,1.0
,,,0.6,,,1.0
,,,0.6,,,1.0
,,,0.6,,,1.0
,,,0.6,,,1.0
,,,0.6,,,1.0
,,,0.19,0.1875,,1.0
,,,0.19,0.1875,,1.0
,,,0.19,0.1875,,1.0
,,,0.19,0.1875,,1.0
